Prix,Achat_Tot,Date,Part_Strat
205.0,3.0,1.0,0.0
149.0,13.0,2.0,0.0
160.0,7.0,3.0,0.0
212.0,1.0,4.0,0.0
109.0,11.0,5.0,0.0
125.0,4.0,6.0,0.0
180.0,2.0,7.0,0.0
187.0,3.0,8.0,0.0
147.0,4.0,9.0,0.0
164.0,11.0,10.0,0.0
131.0,16.0,11.0,0.0
81.0,28.0,12.0,0.0
133.0,20.0,1.0,0.01
155.0,7.0,2.0,0.01
152.0,5.0,3.0,0.01
138.0,4.0,4.0,0.01
153.0,5.0,5.0,0.01
92.0,30.0,6.0,0.01
116.0,1.0,7.0,0.01
185.0,7.0,8.0,0.01
198.0,11.0,9.0,0.01
228.0,6.0,10.0,0.01
134.0,14.0,11.0,0.01
74.0,26.0,12.0,0.01
115.0,24.0,1.0,0.02
145.0,2.0,2.0,0.02
160.0,3.0,3.0,0.02
81.0,30.0,4.0,0.02
131.0,4.0,5.0,0.02
124.0,4.0,6.0,0.02
121.0,5.0,7.0,0.02
155.0,4.0,8.0,0.02
77.0,30.0,9.0,0.02
187.0,11.0,10.0,0.02
107.0,16.0,11.0,0.02
137.0,12.0,12.0,0.02
86.0,30.0,1.0,0.03
113.0,4.0,2.0,0.03
127.0,3.0,3.0,0.03
94.0,30.0,4.0,0.03
97.0,30.0,5.0,0.03
145.0,2.0,6.0,0.03
135.0,11.0,7.0,0.03
96.0,30.0,8.0,0.03
198.0,4.0,9.0,0.03
217.0,8.0,10.0,0.03
169.0,15.0,11.0,0.03
147.0,15.0,12.0,0.03
143.0,14.0,1.0,0.04
170.0,10.0,2.0,0.04
196.0,2.0,3.0,0.04
116.0,6.0,4.0,0.04
226.0,5.0,5.0,0.04
91.0,30.0,6.0,0.04
180.0,4.0,7.0,0.04
205.0,4.0,8.0,0.04
152.0,7.0,9.0,0.04
87.0,30.0,10.0,0.04
203.0,12.0,11.0,0.04
227.0,19.0,12.0,0.04
197.0,4.0,1.0,0.05
192.0,5.0,2.0,0.05
145.0,18.0,3.0,0.05
188.0,3.0,4.0,0.05
197.0,3.0,5.0,0.05
203.0,1.0,6.0,0.05
184.0,8.0,7.0,0.05
138.0,7.0,8.0,0.05
89.0,30.0,9.0,0.05
81.0,30.0,10.0,0.05
74.0,17.0,11.0,0.05
77.0,2.0,12.0,0.05
132.0,27.0,1.0,0.06
78.0,30.0,2.0,0.06
113.0,2.0,3.0,0.06
174.0,2.0,4.0,0.06
124.0,2.0,5.0,0.06
174.0,7.0,6.0,0.06
200.0,2.0,7.0,0.06
148.0,6.0,8.0,0.06
152.0,6.0,9.0,0.06
73.0,30.0,10.0,0.06
116.0,14.0,11.0,0.06
100.0,21.0,12.0,0.06
167.0,8.0,1.0,0.07
123.0,14.0,2.0,0.07
111.0,10.0,3.0,0.07
115.0,3.0,4.0,0.07
191.0,4.0,5.0,0.07
134.0,2.0,6.0,0.07
89.0,30.0,7.0,0.07
140.0,6.0,8.0,0.07
198.0,10.0,9.0,0.07
170.0,15.0,10.0,0.07
119.0,13.0,11.0,0.07
176.0,21.0,12.0,0.07
183.0,7.0,1.0,0.08
154.0,12.0,2.0,0.08
158.0,7.0,3.0,0.08
118.0,9.0,4.0,0.08
142.0,3.0,5.0,0.08
94.0,30.0,6.0,0.08
80.0,30.0,7.0,0.08
169.0,10.0,8.0,0.08
93.0,30.0,9.0,0.08
140.0,11.0,10.0,0.08
207.0,10.0,11.0,0.08
183.0,3.0,12.0,0.08
85.0,30.0,1.0,0.09
225.0,4.0,2.0,0.09
120.0,2.0,3.0,0.09
159.0,6.0,4.0,0.09
214.0,1.0,5.0,0.09
206.0,2.0,6.0,0.09
86.0,30.0,7.0,0.09
99.0,30.0,8.0,0.09
75.0,30.0,9.0,0.09
197.0,8.0,10.0,0.09
124.0,6.0,11.0,0.09
83.0,14.0,12.0,0.09
142.0,22.0,1.0,0.1
101.0,15.0,2.0,0.1
216.0,4.0,3.0,0.1
199.0,6.0,4.0,0.1
117.0,6.0,5.0,0.1
179.0,3.0,6.0,0.1
207.0,9.0,7.0,0.1
90.0,30.0,8.0,0.1
201.0,8.0,9.0,0.1
142.0,11.0,10.0,0.1
178.0,15.0,11.0,0.1
192.0,18.0,12.0,0.1
159.0,14.0,1.0,0.11
131.0,14.0,2.0,0.11
207.0,2.0,3.0,0.11
127.0,8.0,4.0,0.11
196.0,5.0,5.0,0.11
158.0,5.0,6.0,0.11
222.0,6.0,7.0,0.11
85.0,30.0,8.0,0.11
77.0,30.0,9.0,0.11
173.0,9.0,10.0,0.11
215.0,11.0,11.0,0.11
205.0,16.0,12.0,0.11
155.0,16.0,1.0,0.12
204.0,3.0,2.0,0.12
197.0,2.0,3.0,0.12
192.0,6.0,4.0,0.12
97.0,30.0,5.0,0.12
130.0,7.0,6.0,0.12
209.0,6.0,7.0,0.12
214.0,8.0,8.0,0.12
136.0,12.0,9.0,0.12
204.0,8.0,10.0,0.12
188.0,16.0,11.0,0.12
167.0,25.0,12.0,0.12
74.0,30.0,1.0,0.13
210.0,3.0,2.0,0.13
152.0,5.0,3.0,0.13
211.0,1.0,4.0,0.13
193.0,3.0,5.0,0.13
153.0,9.0,6.0,0.13
117.0,10.0,7.0,0.13
223.0,4.0,8.0,0.13
203.0,5.0,9.0,0.13
79.0,30.0,10.0,0.13
195.0,11.0,11.0,0.13
220.0,18.0,12.0,0.13
171.0,13.0,1.0,0.14
199.0,3.0,2.0,0.14
83.0,30.0,3.0,0.14
133.0,4.0,4.0,0.14
84.0,30.0,5.0,0.14
72.0,30.0,6.0,0.14
141.0,6.0,7.0,0.14
113.0,10.0,8.0,0.14
206.0,5.0,9.0,0.14
184.0,10.0,10.0,0.14
187.0,17.0,11.0,0.14
168.0,17.0,12.0,0.14
221.0,3.0,1.0,0.15
203.0,2.0,2.0,0.15
131.0,19.0,3.0,0.15
145.0,12.0,4.0,0.15
118.0,7.0,5.0,0.15
186.0,7.0,6.0,0.15
184.0,6.0,7.0,0.15
92.0,30.0,8.0,0.15
98.0,30.0,9.0,0.15
78.0,30.0,10.0,0.15
208.0,8.0,11.0,0.15
100.0,6.0,12.0,0.15
196.0,4.0,1.0,0.16
138.0,18.0,2.0,0.16
99.0,30.0,3.0,0.16
189.0,0.0,4.0,0.16
134.0,3.0,5.0,0.16
216.0,3.0,6.0,0.16
172.0,7.0,7.0,0.16
218.0,7.0,8.0,0.16
176.0,9.0,9.0,0.16
136.0,9.0,10.0,0.16
215.0,11.0,11.0,0.16
135.0,25.0,12.0,0.16
144.0,18.0,1.0,0.17
159.0,5.0,2.0,0.17
102.0,13.0,3.0,0.17
180.0,4.0,4.0,0.17
201.0,5.0,5.0,0.17
180.0,12.0,6.0,0.17
206.0,5.0,7.0,0.17
189.0,6.0,8.0,0.17
82.0,30.0,9.0,0.17
176.0,8.0,10.0,0.17
100.0,29.0,11.0,0.17
125.0,7.0,12.0,0.17
139.0,23.0,1.0,0.18
207.0,3.0,2.0,0.18
101.0,10.0,3.0,0.18
146.0,3.0,4.0,0.18
135.0,3.0,5.0,0.18
73.0,30.0,6.0,0.18
127.0,11.0,7.0,0.18
178.0,5.0,8.0,0.18
101.0,13.0,9.0,0.18
138.0,12.0,10.0,0.18
155.0,12.0,11.0,0.18
72.0,23.0,12.0,0.18
149.0,17.0,1.0,0.19
213.0,3.0,2.0,0.19
118.0,9.0,3.0,0.19
200.0,3.0,4.0,0.19
133.0,5.0,5.0,0.19
116.0,9.0,6.0,0.19
119.0,5.0,7.0,0.19
155.0,10.0,8.0,0.19
74.0,30.0,9.0,0.19
180.0,11.0,10.0,0.19
220.0,13.0,11.0,0.19
227.0,23.0,12.0,0.19
70.0,30.0,1.0,0.2
85.0,30.0,2.0,0.2
189.0,2.0,3.0,0.2
156.0,2.0,4.0,0.2
91.0,30.0,5.0,0.2
195.0,2.0,6.0,0.2
203.0,7.0,7.0,0.2
143.0,9.0,8.0,0.2
149.0,10.0,9.0,0.2
93.0,30.0,10.0,0.2
102.0,21.0,11.0,0.2
172.0,3.0,12.0,0.2
124.0,25.0,1.0,0.21
178.0,3.0,2.0,0.21
149.0,2.0,3.0,0.21
81.0,30.0,4.0,0.21
185.0,4.0,5.0,0.21
131.0,4.0,6.0,0.21
133.0,4.0,7.0,0.21
183.0,5.0,8.0,0.21
142.0,11.0,9.0,0.21
130.0,12.0,10.0,0.21
114.0,19.0,11.0,0.21
89.0,14.0,12.0,0.21
91.0,30.0,1.0,0.22
146.0,7.0,2.0,0.22
220.0,1.0,3.0,0.22
102.0,11.0,4.0,0.22
222.0,3.0,5.0,0.22
